experiment,model_name,preprocess_config,filters1,filters2,dense,batch_size,initial_lr,final_lr,eph_planned,eph_trained,best_epoch,total_params,best_train_acc,best_val_acc,overfit_gap_best,test_acc
1,base_32_64_d64,"{'N': 1, 'R': 0, 'E': '0'}",32,64,64,32,0.001,0.0001,50,19,19,167562,0.8257,0.7091,11.66,0.7014999985694885
2,base_32_64_d128,"{'N': 1, 'R': 0, 'E': '0'}",32,64,128,32,0.001,0.0003,50,13,13,315722,0.8771,0.7187,15.840000000000002,0.7034000158309937
3,base_32_64_d256,"{'N': 1, 'R': 0, 'E': '0'}",32,64,256,32,0.001,0.0003,50,11,10,612042,0.8872,0.7196,16.76,0.6945000290870667
4,mid_32_128_d128,"{'N': 1, 'R': 0, 'E': '0'}",32,128,128,32,0.001,0.0001,50,15,14,629130,0.9,0.7294,17.07,0.7171000242233276
5,mid_32_128_d256,"{'N': 1, 'R': 0, 'E': '0'}",32,128,256,32,0.001,0.0003,50,11,10,1220362,0.9161,0.7278,18.83,0.7125999927520752
6,wide_64_128_d128,"{'N': 1, 'R': 0, 'E': '0'}",64,128,128,32,0.001,0.0003,50,11,11,666890,0.8752,0.7203,15.49,0.6952000260353088
7,wide_64_128_d256,"{'N': 1, 'R': 0, 'E': '0'}",64,128,256,32,0.001,0.0003,50,10,10,1258122,0.9426,0.7344,20.82,0.7039999961853027
8,high_128_256_d256,"{'N': 1, 'R': 0, 'E': '0'}",128,256,256,32,0.001,0.0003,50,10,9,2660874,0.9554,0.7297,22.57,0.7070000171661377
9,base_lr0005,"{'N': 1, 'R': 0, 'E': '0'}",32,64,128,32,0.0005,0.00015,50,17,16,315722,0.8324,0.7169,11.55,0.7024999856948853
10,wide_lr0005,"{'N': 1, 'R': 0, 'E': '0'}",64,128,256,32,0.0005,0.00015,50,13,12,1258122,0.9478,0.736,21.18,0.7157999873161316
11,batch_64,"{'N': 1, 'R': 0, 'E': '0'}",32,65,128,64,0.001,0.0003,50,15,15,320619,0.8741,0.7221,15.2,0.7075999975204468
12,batch_128,"{'N': 1, 'R': 0, 'E': '0'}",64,128,256,128,0.001,0.0003,50,13,12,1258122,0.9147,0.7292,18.55,0.7113999724388123
